metric,value,count,percentage
Status,available,7,5.7
Status,implemented,45,36.6
Status,planned,71,57.7
System,-,46,37.4
System,I,40,32.5
System,K,14,11.4
System,W,22,17.9
System,W+I,1,0.8
Category,action,12,9.8
Category,chord,6,4.9
Category,custom,8,6.5
Category,desktop,2,1.6
Category,leader,15,12.2
Category,mouse,2,1.6
Category,navigation,23,18.7
Category,selection,6,4.9
Category,sequence,12,9.8
Category,text_edit,7,5.7
Category,timing,16,13.0
Category,unmapped,7,5.7
Category,window,7,5.7
Sequence Type,chord,6,4.9
Sequence Type,double_tap,11,8.9
Sequence Type,leader,15,12.2
Sequence Type,long_press,3,2.4
Sequence Type,tap_hold,2,1.6
Sequence Type,vim_prefix,16,13.0
Timing (ms),200,2,1.6
Timing (ms),300,1,0.8
Timing (ms),500,11,8.9
Timing (ms),1000,2,1.6
Press Type,double,11,8.9
Press Type,hold,3,2.4
Press Type,tap_or_hold,2,1.6
